"ID";"NumberOfParkingMeter";"global_id";"AdmArea";"District";"StreetName";"Location";"longitude";"latitude";"ParkingZoneNumber";"geoData";
"1582";"Паркомат № 2157";"282084351";"Центральный административный округ";"район Хамовники";"Пречистенская набережная";"Пречистенская набережная, дом 5";"37.60141";"55.7367";"2101";"{type=Point, coordinates=[37.6014100305344, 55.736699631502]}";
"1583";"Паркомат № 2158";"282084352";"Центральный административный округ";"район Хамовники";"Новокрымский проезд";"Новокрымский проезд, дом 53/2, строение 1";"37.595913356345";"55.735857752651";"2101";"{type=Point, coordinates=[37.5959133865537, 55.7358573845009]}";
"1584";"Паркомат № 2159";"282084353";"Центральный административный округ";"район Хамовники";"Плотников переулок";"Плотников переулок, дом 12";"37.588687965607";"55.746196922341";"2101";"{type=Point, coordinates=[37.5886879966016, 55.7461965535682]}";
"1585";"Паркомат № 2160";"282084355";"Центральный административный округ";"район Арбат";"Поварская улица";"Поварская улица, дом 25А";"37.58954405159";"55.756165126907";"2102";"{type=Point, coordinates=[37.5895440826182, 55.7561647586276]}";
"1586";"Паркомат № 2162";"282084356";"Центральный административный округ";"район Арбат";"Поварская улица";"Поварская улица, дом 30";"37.59221664418";"55.75521521408";"2102";"{type=Point, coordinates=[37.5922166746059, 55.75521484562]}";
"1587";"Паркомат № 2163";"282084358";"Центральный административный округ";"Пресненский район";"Большая Никитская улица";"Большая Никитская улица, дом 47, строение 3";"37.589573";"55.757825";"0303";"{type=Point, coordinates=[37.5895730306213, 55.7578246316375]}";
"1588";"Паркомат № 2164";"282084359";"Центральный административный округ";"район Арбат";"Поварская улица";"Поварская улица, напротив дома 5";"37.597361203705";"55.753723563411";"2102";"{type=Point, coordinates=[37.5973612345831, 55.7537231946074]}";
"1589";"Паркомат № 2165";"282084360";"Центральный административный округ";"Тверской район";"Лесная улица";"Лесная улица, дом 41";"37.590059";"55.779608";"0304";"{type=Point, coordinates=[37.5900590306625, 55.7796076317686]}";
"1590";"Паркомат № 2166";"282084361";"Центральный административный округ";"район Арбат";"Поварская улица";"Поварская улица, напротив дома 48";"37.587365697484";"55.757145796459";"2102";"{type=Point, coordinates=[37.5873657276285, 55.7571454276351]}";
"1591";"Паркомат № 2167";"282084362";"Центральный административный округ";"район Хамовники";"Пожарский переулок";"Пожарский переулок, дом 5А";"37.603907483467";"55.740624217593";"2101";"{type=Point, coordinates=[37.6039075135326, 55.7406238495239]}";
